1.000000000000000021e-03	7.976123094558715820e-01	8.268449306488037109e-01	8.194963693618774192e-01
1.000000000000000021e-03	7.726422349611917761e-01	8.112979233264923096e-01	8.058048129081726296e-01
1.000000000000000021e-03	7.798953453699747351e-01	8.089870810508728027e-01	8.040451526641845259e-01
1.000000000000000021e-03	7.646310528119405481e-01	8.136062324047088623e-01	8.066081523895263228e-01
1.000000000000000021e-03	7.713250915209451941e-01	8.116706013679504395e-01	8.048518538475036843e-01
1.000000000000000021e-03	7.650843858718872070e-01	8.084733188152313232e-01	8.024032592773437944e-01
1.000000000000000021e-03	7.617078820864359168e-01	8.020353317260742188e-01	7.968100070953368919e-01
1.000000000000000021e-03	7.524042526880899695e-01	7.939778268337249756e-01	7.893718242645263450e-01
1.000000000000000021e-03	7.454357544581095008e-01	7.852078378200531006e-01	7.791294813156127708e-01
1.000000000000000021e-03	7.289260427157083777e-01	7.625291049480438232e-01	7.580338120460510254e-01
1.000000000000000021e-03	6.980181535085042688e-01	7.093520164489746094e-01	7.042026400566101518e-01
1.000000000000000021e-03	6.490812699000040320e-01	6.462050974369049072e-01	6.415156841278075728e-01
1.000000000000000021e-03	5.851501425107320520e-01	5.576099753379821777e-01	5.532664060592651367e-01
1.000000000000000021e-03	5.135866502920786170e-01	4.689250290393829346e-01	4.625627279281616100e-01
1.000000000000000021e-03	4.697300791740417480e-01	4.239964187145233154e-01	4.166867613792419323e-01
1.000000000000000021e-03	4.151425758997599469e-01	4.344492107629776001e-01	4.261081457138061745e-01
1.000000000000000021e-03	4.120200971762339459e-01	3.796878755092620850e-01	3.739611566066741721e-01
1.000000000000000021e-03	3.713774383068084717e-01	3.772149980068206787e-01	3.704127371311187744e-01
1.000000000000000021e-03	3.499816854794819965e-01	3.513674437999725342e-01	3.446931004524230735e-01
1.000000000000000021e-03	3.387269278367360248e-01	3.502107560634613037e-01	3.431592702865600697e-01
1.000000000000000021e-03	3.318500419457753314e-01	3.375473320484161377e-01	3.319427490234375111e-01
1.000000000000000021e-03	3.225438098112742291e-01	3.307182788848876953e-01	3.243295013904571311e-01
1.000000000000000021e-03	3.146395683288574219e-01	3.295939415693283081e-01	3.238777816295623779e-01
1.000000000000000021e-03	3.193506002426147461e-01	3.290039151906967163e-01	3.225309133529662975e-01
1.000000000000000021e-03	3.153866430123646869e-01	3.010569214820861816e-01	2.960384607315063588e-01
1.000000000000000021e-03	2.964260975519816266e-01	3.032907843589782715e-01	2.987617671489715687e-01
1.000000000000000021e-03	2.985748052597045898e-01	3.219601213932037354e-01	3.184872567653656006e-01
1.000000000000000021e-03	3.003437221050262451e-01	2.926057130098342896e-01	2.882547795772552601e-01
1.000000000000000021e-03	2.970314423243204938e-01	2.895447015762329102e-01	2.840890109539032093e-01
1.000000000000000021e-03	3.005485236644744873e-01	3.161127269268035889e-01	3.100091695785522350e-01
1.000000000000000021e-03	2.918844223022460938e-01	3.039535433053970337e-01	2.979174792766571267e-01
1.000000000000000021e-03	2.891345024108886719e-01	2.722741961479187012e-01	2.676491081714630349e-01
1.000000000000000021e-03	2.653131683667500629e-01	2.696174681186676025e-01	2.653080761432647927e-01
1.000000000000000021e-03	2.659522593021392822e-01	2.647812366485595703e-01	2.601391732692718284e-01
1.000000000000000021e-03	2.578917443752288818e-01	2.671303004026412964e-01	2.621016740798950417e-01
1.000000000000000021e-03	2.534784277280171527e-01	2.507089823484420776e-01	2.459626793861389160e-01
1.000000000000000021e-03	2.451672901709874564e-01	2.461123690009117126e-01	2.413164466619491522e-01
1.000000000000000021e-03	2.719875524441401349e-01	2.575362920761108398e-01	2.531228870153426902e-01
1.000000000000000021e-03	2.388440817594528198e-01	2.702455222606658936e-01	2.673204302787780540e-01
1.000000000000000021e-03	2.764797657728195190e-01	5.237956643104553223e-01	5.270062208175658736e-01
1.000000000000000021e-03	4.537977377573649274e-01	4.306286871433258057e-01	4.253339767456054688e-01
1.000000000000000021e-03	3.584056148926417218e-01	2.885528355836868286e-01	2.850716531276702992e-01
1.000000000000000021e-03	3.058889408906300678e-01	3.170709609985351562e-01	3.110136926174164040e-01
1.000000000000000021e-03	2.867920696735382080e-01	3.122773319482803345e-01	3.090926647186279519e-01
1.000000000000000021e-03	2.839824457963307514e-01	2.985284924507141113e-01	2.924222230911254772e-01
1.000000000000000021e-03	2.648414870103200092e-01	2.869761735200881958e-01	2.842346191406249778e-01
1.000000000000000021e-03	2.621242503325144635e-01	2.861527055501937866e-01	2.808307707309722900e-01
1.000000000000000021e-03	2.555915613969166889e-01	2.734679430723190308e-01	2.705013692378998025e-01
9.000000000000000838e-04	2.517569710810979022e-01	2.599338442087173462e-01	2.549965947866439930e-01
9.000000000000000838e-04	2.413809398810068674e-01	2.479494810104370117e-01	2.452325075864791870e-01
9.000000000000000838e-04	2.322072486082712717e-01	2.448943108320236206e-01	2.404283642768859919e-01
9.000000000000000838e-04	2.297264734903971262e-01	2.338756769895553589e-01	2.307816058397293146e-01
9.000000000000000838e-04	2.225879430770874023e-01	2.248998805880546570e-01	2.206506073474883978e-01
9.000000000000000838e-04	2.147892812887827463e-01	2.183864042162895203e-01	2.144268065690994318e-01
9.000000000000000838e-04	2.101384947697321481e-01	2.213883772492408752e-01	2.180484533309936523e-01
9.000000000000000838e-04	2.081820666790008545e-01	2.084230110049247742e-01	2.043254762887954656e-01
9.000000000000000838e-04	1.987018088499704904e-01	2.042582780122756958e-01	2.003490865230560247e-01
9.000000000000000838e-04	1.926178981860478812e-01	2.019585445523262024e-01	1.987283229827880859e-01
9.000000000000000838e-04	1.942715396483739310e-01	2.178497463464736938e-01	2.133010447025299183e-01
9.000000000000000838e-04	2.047145267327626639e-01	2.004399523138999939e-01	1.983975201845168956e-01
9.000000000000000838e-04	1.884219845136006766e-01	1.863939315080642700e-01	1.833024471998214722e-01
9.000000000000000838e-04	1.763349672158559256e-01	1.991525068879127502e-01	1.955018997192382868e-01
9.000000000000000838e-04	2.180678844451904297e-01	1.871009990572929382e-01	1.850243896245956365e-01
9.000000000000000838e-04	2.429367651542027884e-01	3.087911754846572876e-01	3.028852343559265137e-01
9.000000000000000838e-04	2.395515590906143188e-01	2.390444353222846985e-01	2.338388860225677490e-01
9.000000000000000838e-04	2.197912782430648804e-01	2.063522785902023315e-01	2.048720955848693792e-01
9.000000000000000838e-04	1.980181386073430472e-01	2.067472189664840698e-01	2.063234567642212025e-01
9.000000000000000838e-04	1.984181304772694998e-01	1.954344287514686584e-01	1.934254944324493297e-01
9.000000000000000838e-04	1.872870673735936575e-01	1.992371082305908203e-01	1.964165240526199452e-01
9.000000000000000838e-04	1.855545938014984131e-01	1.973628550767898560e-01	1.940017461776733509e-01
9.000000000000000838e-04	1.820740948120752878e-01	1.871111541986465454e-01	1.848175138235092219e-01
9.000000000000000838e-04	1.752863377332687378e-01	1.799591481685638428e-01	1.776213884353637640e-01
9.000000000000000838e-04	1.721051583687464304e-01	1.784327700734138489e-01	1.762604236602783314e-01
9.000000000000000838e-04	1.794606397549311227e-01	2.036552727222442627e-01	2.044037699699401966e-01
9.000000000000000838e-04	1.801045984029769897e-01	2.021760046482086182e-01	2.031011044979095514e-01
9.000000000000000838e-04	1.950518190860748291e-01	2.264147028326988220e-01	2.284313112497329823e-01
9.000000000000000838e-04	2.114311307668685913e-01	2.719363272190093994e-01	2.759666919708251842e-01
9.000000000000000838e-04	2.216585973898569650e-01	1.827159672975540161e-01	1.805395871400833074e-01
9.000000000000000838e-04	1.973078548908233643e-01	2.211564108729362488e-01	2.169209331274032648e-01
9.000000000000000838e-04	1.970477898915608816e-01	1.885118633508682251e-01	1.855289757251739613e-01
9.000000000000000838e-04	1.801612973213195801e-01	1.876860707998275757e-01	1.879238992929458674e-01
9.000000000000000838e-04	1.728863020737965994e-01	1.768357977271080017e-01	1.758161932229995728e-01
9.000000000000000838e-04	1.686977843443552560e-01	1.746256500482559204e-01	1.722238391637802013e-01
9.000000000000000838e-04	1.671718060970306396e-01	1.788235455751419067e-01	1.759265691041946300e-01
9.000000000000000838e-04	1.657442649205525809e-01	1.834493055939674377e-01	1.801726073026657104e-01
